Nom du site,Type de site,Adresse 1,Adresse 2,Code Postal,Ville,Contact,Numero de telephone,GPS X,GPS Y,Date de modification
Abattoirs,Stations de taxi,Place des Abattoirs,,13015,Marseille,,,5.35728110435964,43.3391524226797,12/12/2016 10:33:29
Alphonse Canovas,Stations de taxi,Place Alphonse Canovas,,13015,Marseille,,0 811 46 90 90,5.35593697499996,43.3714515325732,12/12/2016 10:33:29
Andre Roussin,Stations de taxi,Andre Roussin,,13015,Marseille,,,5.33813751510305,43.3594184500907,12/12/2016 10:33:29
Bailli De Suffren,Stations de taxi,Rue Bailli de Suffren,,13001,Marseille,,0 811 46 90 90,5.3751100925666,43.2948664046419,12/12/2016 10:33:29
Basile Barrelier,Stations de taxi,Bd Basile Barrelier,,13014,Marseille,,,5.39210278259834,43.3385062022657,12/12/2016 10:33:29
Bernard Cadenat,Stations de taxi,Place Bernard Cadenat,,13003,Marseille,,,5.38659706051597,43.3118806663674,12/12/2016 10:33:29
Bir Hakeim,Stations de taxi,Rue de Bir Hakeim,,13001,Marseille,,,5.3771696727352,43.2971165376457,12/12/2016 10:33:29
Bois Lemaitre,Stations de taxi,Square Edouard Estaunie,,13012,Marseille,,,5.43278108107494,43.3209789593729,12/12/2016 10:33:29
Bonnefon,Stations de taxi,Place Louis Bonnefon,,13008,Marseille,,,5.38191283296584,43.2539328884261,12/12/2016 10:33:29
Brossolette,Stations de taxi,Rue de la Conception,,13004,Marseille,,0 811 46 90 90,5.40112852471895,43.3065438034888,12/12/2016 10:33:29
Camille Pelletan,Stations de taxi,Avenue Camille Pelletan,,13003,Marseille,,0 811 46 90 90,5.37324943904368,43.305401187325,12/12/2016 10:33:29
Castellane,Stations de taxi,Place Castellane,,13006,Marseille,,0 811 46 90 90,5.38352958418161,43.2856546803188,12/12/2016 10:33:29
Cazemajou,Stations de taxi,Place Cazemajou,,13015,Marseille,,,5.36731891401059,43.318871127985,12/12/2016 10:33:29
Chapuis Yves,Stations de taxi,Rue Yves Chapuis,Gare Blancarde,13004,Marseille,,0 811 46 90 90,5.40591955470585,43.2966642176246,12/12/2016 10:33:29
Chauvelin,Stations de taxi,Rue Chauvelin,,13005,Marseille,,,5.38990511846036,43.2878812007534,12/12/2016 10:33:29
Chu Timone,Stations de taxi,Rue Saint Pierre,,13005,Marseille,,0 811 46 90 90,5.40337593281831,43.2915531245245,12/12/2016 10:33:29
Chutes Lavie,Stations de taxi,Ave des Chutes Lavie,,13004,Marseille,,,5.39714006271269,43.3138424273273,12/12/2016 10:33:29
Claudel,Stations de taxi,225 Bd Paul Claudel,,13010,Marseille,,,5.42049172887177,43.2691296809553,12/12/2016 10:33:29
Danielle Casanova,Stations de taxi,Boulevard Danielle Casanova,,13014,Marseille,,,5.37473029039051,43.3267006810518,12/12/2016 10:33:29
David,Stations de taxi,Promenade G. Pompidou,,13008,Marseille,,,5.37447185296808,43.26204684988,12/12/2016 10:33:29
Delibes,Stations de taxi,Place Ernest Delibes,,13008,Marseille,,0 811 46 90 90,5.38272230879424,43.2792621210563,12/12/2016 10:33:29
Dromel,Stations de taxi,Bd Sainte Marguerite,Bd Schloesing,13009,Marseille,,0 811 46 90 90,5.4032986961748,43.2691628586019,12/12/2016 10:33:29
Enco De Botte,Stations de taxi,Face au 4bis route d'enco de botte,,13012,Marseille,,,5.46507874737464,43.3126847179141,12/12/2016 10:33:29
Endoume St Victor,Stations de taxi,Rue d'Endoume,,13007,Marseille,,0 811 46 90 90,5.36634795719045,43.2896953352366,12/12/2016 10:33:29
Estaque Plage,Stations de taxi,Plage de l'Estaque,,13016,Marseille,,,5.31524068167276,43.360176626323,12/12/2016 10:33:29
Eugene Pierre,Stations de taxi,Angle Bd Chave Bd Eugene Pierre,,13005,Marseille,,0 811 46 90 90,5.3908779660752,43.2949110424433,12/12/2016 10:33:29
